n,median,sthdm
3,0.74292,0.96249
4,0.83821,0.92578
5,0.69575,0.90002
6,0.77545,0.8845
7,0.67964,0.8773
8,0.74307,0.86781
9,0.66932,0.85826
10,0.72344,0.85038
11,0.66238,0.84138
12,0.70936,0.83466
13,0.65853,0.82774
14,0.69799,0.82081
15,0.65651,0.81647
16,0.69219,0.81238
17,0.6536,0.80765
18,0.68533,0.80246
19,0.65118,0.79816
20,0.68192,0.79541
21,0.65005,0.79143
22,0.67797,0.78812
23,0.64701,0.78316
24,0.67432,0.78192
25,0.64839,0.7793
26,0.6701,0.77557
27,0.64655,0.77329
28,0.66882,0.77177
29,0.64751,0.77042
30,0.66653,0.76703
31,0.64534,0.76477
32,0.66598,0.76379
33,0.64387,0.75966
34,0.66112,0.75744
35,0.64437,0.75735
36,0.6604,0.75502
37,0.64422,0.75468
38,0.65967,0.75212
39,0.64308,0.75084
40,0.65933,0.75007
41,0.64426,0.74892
42,0.65779,0.74662
43,0.64219,0.74509
44,0.65657,0.74416
45,0.64256,0.7432
46,0.65652,0.74267
47,0.64178,0.74071
48,0.65542,0.74025
49,0.64349,0.73966
50,0.65246,0.73656
51,0.64196,0.73698
52,0.65356,0.73538
53,0.64264,0.73558
54,0.65251,0.73415
55,0.64044,0.73282
56,0.65232,0.73219
57,0.64105,0.7313
58,0.6532,0.73185
59,0.64102,0.72965
60,0.65227,0.72946
61,0.64066,0.72857
62,0.65218,0.72827
63,0.64155,0.72757
64,0.65163,0.72699
65,0.63987,0.72531
66,0.65017,0.72512
67,0.64156,0.72479
68,0.64978,0.72403
69,0.64027,0.72295
70,0.64877,0.72172
71,0.64096,0.72215
72,0.65036,0.72222
73,0.63898,0.71972
74,0.65041,0.72114
75,0.64019,0.71953
76,0.6486,0.71932
77,0.64169,0.71979
78,0.64798,0.71796
79,0.64043,0.71799
80,0.64666,0.71616
81,0.64022,0.7167
82,0.6476,0.71589
83,0.64047,0.71632
84,0.64657,0.7144
85,0.64025,0.71506
86,0.64627,0.71339
87,0.63973,0.71339
88,0.64658,0.71285
89,0.63882,0.71239
90,0.64614,0.7122
91,0.63863,0.71091
92,0.64681,0.71219
93,0.63986,0.71173
94,0.64628,0.71075
95,0.63933,0.71045
96,0.64718,0.71144
97,0.63957,0.70965
98,0.64551,0.70853
99,0.6385,0.70806
100,0.64584,0.70855
200,0.64094,0.68757
300,0.63981,0.67842
400,0.63932,0.67326
500,0.63654,0.66677
600,0.63679,0.66481
700,0.63805,0.66389
800,0.6383,0.66259
900,0.63821,0.66113
1000,0.63773,0.65995
2000,0.63755,0.65333
3000,0.63745,0.6502
4000,0.63772,0.64881
5000,0.63656,0.64647
6000,0.63625,0.64546
7000,0.63618,0.64484
8000,0.63673,0.64458
9000,0.63735,0.64478
10000,0.6353,0.64228
100000,0.63691,0.6391
