n,k,thl
3,0,0.919265674658757
3,1,0.742665071340835
4,0,1
4,1,0.834617158531545
5,0,0.939844765009686
5,1,0.866683215058475
5,2,0.689960201924162
6,0,0.939957213430177
6,1,0.906412270362731
6,2,0.779840902994412
7,0,0.940663343853747
7,1,0.872046450022798
7,2,0.81954018136869
7,3,0.683143170298463
8,0,0.939736792208356
8,1,0.891989789650551
8,2,0.847366695449806
8,3,0.747083369955425
9,0,0.945639842853215
9,1,0.897300490386928
9,2,0.82526195192897
9,3,0.78397281303648
9,4,0.669111453911013
10,0,0.944877416812827
10,1,0.89760527742647
10,2,0.847854927781597
10,3,0.810461133932397
10,4,0.725440751608768
11,0,0.945735217721651
11,1,0.908128622429247
11,2,0.862743776595735
11,3,0.797220748665065
11,4,0.762645228330519
11,5,0.660606799520846
12,0,0.946698753076469
12,1,0.907458500517965
12,2,0.86557299600363
12,3,0.820168350919704
12,4,0.778126694597647
12,5,0.708872713321954
13,0,0.944891657963001
13,1,0.911354522290605
13,2,0.872684293438329
13,3,0.832102837066151
13,4,0.775742672724947
13,5,0.743091926816213
13,6,0.656229574392849
14,0,0.944410135367345
14,1,0.915450691688809
14,2,0.881118194089374
14,3,0.83693000010837
14,4,0.794529530131443
14,5,0.762828956110994
14,6,0.702214246294603
15,0,0.944502370089171
15,1,0.918620426632383
15,2,0.883423382503831
15,3,0.842450392261738
15,4,0.808093944325799
15,5,0.755961494575917
15,6,0.733546444562996
15,7,0.659099727972502
16,0,0.948671420173227
16,1,0.92136126987812
16,2,0.888387464297808
16,3,0.857279274457945
16,4,0.818075065107606
16,5,0.781778616716131
16,6,0.743994223056143
16,7,0.687468668313249
17,0,0.949730784633306
17,1,0.923717785343958
17,2,0.893841977607222
17,3,0.858047117080415
17,4,0.825025506373713
17,5,0.794549810194107
17,6,0.744066276151206
17,7,0.721865309606992
17,8,0.657361087461063
18,0,0.948931369925079
18,1,0.925771156345092
18,2,0.898982358647046
18,3,0.865849267241713
18,4,0.834121430592065
18,5,0.797788933950032
18,6,0.763020666806241
18,7,0.734876837833981
18,8,0.684842561893996
19,0,0.951878815791819
19,1,0.926227832258795
19,2,0.901156849202049
19,3,0.873212292550718
19,4,0.838226630686449
19,5,0.809246712812724
19,6,0.778970399958188
19,7,0.73797756487514
19,8,0.711940344904908
19,9,0.649802756470253
20,0,0.948421650696088
20,1,0.929085347613492
20,2,0.905896014663105
20,3,0.877930898730898
20,4,0.853167282725774
20,5,0.81817983634117
20,6,0.781255419420115
20,7,0.751378749562783
20,8,0.723637493823282
20,9,0.679447548437493
21,0,0.949089344306922
21,1,0.92901498851353
21,2,0.90404928412753
21,3,0.881400184510315
21,4,0.857818765705499
21,5,0.826343611225633
21,6,0.79720720340735
21,7,0.764715435961356
21,8,0.723147718071711
21,9,0.709972032787626
21,10,0.647966111443159
22,0,0.948715241478039
22,1,0.933892065532988
22,2,0.91480225353807
22,3,0.884056377345142
22,4,0.862126638572974
22,5,0.82930101306179
22,6,0.800208139711901
22,7,0.76827328952482
22,8,0.742110618016834
22,9,0.720414132883613
22,10,0.67704039393908
23,0,0.950473786217338
23,1,0.935521185602841
23,2,0.90991131898284
23,3,0.89068179238129
23,4,0.863752337514531
23,5,0.832554451993732
23,6,0.811536786618368
23,7,0.777446643469121
23,8,0.754249144528838
23,9,0.72424130557776
23,10,0.700991731955185
23,11,0.644989776969357
24,0,0.950019785908636
24,1,0.934346149716777
24,2,0.912882275833966
24,3,0.890139081871042
24,4,0.869659370664807
24,5,0.841092725494851
24,6,0.81570573298751
24,7,0.791732750267681
24,8,0.757477682744224
24,9,0.741063306412324
24,10,0.709981909017262
24,11,0.676821646263737
25,0,0.95108215074534
25,1,0.93573005772867
25,2,0.918536177407003
25,3,0.895040227668022
25,4,0.874437060829597
25,5,0.847687550529756
25,6,0.823967945466725
25,7,0.794705047250414
25,8,0.77238313634483
25,9,0.746496031766109
25,10,0.713336349175212
25,11,0.697401894216712
25,12,0.647259779870855
