es,rate,type
-1,0,t
-0.95,0,t
-0.9,0,t
-0.85,0,t
-0.8,0,t
-0.75,0,t
-0.7,5e-05,t
-0.65,1e-04,t
-0.6,0.00015,t
-0.55,4e-04,t
-0.5,0.00045,t
-0.45,0.001,t
-0.4,0.00215,t
-0.35,0.0043,t
-0.3,0.00435,t
-0.25,0.0091,t
-0.2,0.0103,t
-0.15,0.01775,t
-0.1,0.0251,t
-0.0499999999999999,0.03505,t
0,0.05115,t
0.05,0.06715,t
0.1,0.0907,t
0.15,0.11695,t
0.2,0.15665,t
0.25,0.19385,t
0.3,0.2377,t
0.35,0.28155,t
0.4,0.34365,t
0.45,0.40405,t
0.5,0.46555,t
0.55,0.53095,t
0.6,0.5869,t
0.65,0.652,t
0.7,0.7027,t
0.75,0.7561,t
0.8,0.8029,t
0.85,0.84185,t
0.9,0.87265,t
0.95,0.9055,t
1,0.92875,t
1.05,0.9438,t
1.1,0.95975,t
1.15,0.97495,t
1.2,0.9813,t
1.25,0.9866,t
1.3,0.9917,t
1.35,0.99475,t
1.4,0.99655,t
1.45,0.997,t
1.5,0.9983,t
1.55,0.99915,t
1.6,0.99965,t
1.65,0.99965,t
1.7,0.99985,t
1.75,0.9999,t
1.8,0.99995,t
1.85,0.9999,t
1.9,1,t
1.95,1,t
2,1,t
-1,0,mw
-0.95,0,mw
-0.9,5e-05,mw
-0.85,5e-05,mw
-0.8,0,mw
-0.75,0,mw
-0.7,5e-05,mw
-0.65,1e-04,mw
-0.6,5e-05,mw
-0.55,4e-04,mw
-0.5,0.00055,mw
-0.45,0.0015,mw
-0.4,0.0018,mw
-0.35,0.00305,mw
-0.3,0.00465,mw
-0.25,0.00855,mw
-0.2,0.0121,mw
-0.15,0.018,mw
-0.1,0.0237,mw
-0.0499999999999999,0.0343,mw
0,0.04755,mw
0.05,0.06875,mw
0.1,0.089,mw
0.15,0.1105,mw
0.2,0.14315,mw
0.25,0.1823,mw
0.3,0.22285,mw
0.35,0.2718,mw
0.4,0.33055,mw
0.45,0.3829,mw
0.5,0.4354,mw
0.55,0.49365,mw
0.6,0.557,mw
0.65,0.62025,mw
0.7,0.67635,mw
0.75,0.72405,mw
0.8,0.77925,mw
0.85,0.81635,mw
0.9,0.852,mw
0.95,0.8884,mw
1,0.9147,mw
1.05,0.9347,mw
1.1,0.95135,mw
1.15,0.9625,mw
1.2,0.9761,mw
1.25,0.982,mw
1.3,0.9869,mw
1.35,0.9913,mw
1.4,0.99555,mw
1.45,0.9966,mw
1.5,0.99775,mw
1.55,0.99875,mw
1.6,0.99925,mw
1.65,0.9996,mw
1.7,0.99975,mw
1.75,0.9997,mw
1.8,0.9998,mw
1.85,0.99995,mw
1.9,1,mw
1.95,0.99995,mw
2,1,mw
