n,dhl,hl
3,0.978877490760282,0.900686754107978
4,0.913128541242303,0.916208561015572
5,0.929013297296341,0.906726224539064
6,0.929755040778093,0.918233372973007
7,0.92647599894552,0.91846765405013
8,0.931666283345785,0.923910918622385
9,0.930573205516338,0.925351296530444
10,0.931684472775395,0.929222612754623
11,0.935990123847363,0.929499464020639
12,0.93651788715493,0.933035434233448
13,0.935920899771216,0.933818607798807
14,0.937184805951802,0.93455558646259
15,0.938332909275113,0.935815302164041
16,0.941276009035079,0.939255800032244
17,0.939627811318817,0.938238823052108
18,0.940388594340362,0.939074747880468
19,0.94146565908136,0.939456753115466
20,0.942610968735292,0.941372296460881
21,0.943055724919634,0.941063078903605
22,0.94307291197299,0.941729158290316
23,0.943596906166963,0.942488926800759
24,0.943891462485684,0.943181148089961
25,0.94517688374528,0.944070066969656
26,0.945109970293745,0.943818570374858
27,0.944515802022148,0.943463042020025
28,0.946897886532369,0.945470594249735
29,0.945623103384193,0.944640468865681
30,0.94553244083417,0.94472216686808
31,0.947307178335811,0.946252169890747
32,0.947116180465186,0.945610738726843
33,0.945666890844163,0.944678151078623
34,0.946642690674388,0.946276341430082
35,0.947612611222002,0.946729984426339
36,0.946635749216921,0.94627303200968
37,0.947345427092814,0.947294875065392
38,0.94726532066057,0.946751260398927
39,0.947763473706306,0.947346249254774
40,0.948142675896175,0.94830973669692
41,0.948774995399735,0.948419169400249
42,0.949046330343664,0.948104110899714
43,0.948767790662094,0.948073015405655
44,0.948082573149901,0.947642731947795
45,0.948539656763927,0.947802006892987
46,0.94876534742464,0.948500639447598
47,0.94895319951293,0.948378122465982
48,0.949725142842147,0.949461264074971
49,0.949957087619624,0.948941180271682
50,0.94950485876132,0.949569446140997
