n,median,hl
3,0.743493491610706,0.979269826818055
4,0.834753213702698,0.911844291869656
5,0.697465515346625,0.927320211203295
6,0.774191714290139,0.92746916065251
7,0.680105222236373,0.926201938889625
8,0.743270456308205,0.931464155493708
9,0.669493169515575,0.931515309001758
10,0.7200023727912,0.932517320011932
11,0.664255611697775,0.938301928209915
12,0.711288255380317,0.937286102583393
13,0.660866890432077,0.934705041427364
14,0.697633804450825,0.935376899275667
15,0.656894393370213,0.937719934067262
16,0.693396129203717,0.940614215021676
17,0.652393859817197,0.941393767427645
18,0.690380222610436,0.942243990785405
19,0.649438187309761,0.944785483366981
20,0.682536988106769,0.941589994122083
21,0.649217961107591,0.942126225517761
22,0.678492321620171,0.942315468749528
23,0.652631574868776,0.945042647171092
24,0.674058999965061,0.944079202471699
25,0.648391231423008,0.945361703029909
26,0.668847829808563,0.945545491368423
27,0.649394574038115,0.944413935199843
28,0.670558466027118,0.945821868427822
29,0.643845355653981,0.946210016084378
30,0.669100869736579,0.945959009388073
31,0.640884435255348,0.94541726288297
32,0.665315351331225,0.948394080816416
33,0.643925935609527,0.944139279974682
34,0.658722545137095,0.947273286207204
35,0.645726122713337,0.948158028534016
36,0.656941389644247,0.945882719147822
37,0.64731379281472,0.94739814107792
38,0.662605563499125,0.94907259755371
39,0.637764312897199,0.946246942257335
40,0.658969045805134,0.947114765584031
41,0.644673010959404,0.949522850263695
42,0.659616703251384,0.947900564681197
43,0.640190363196658,0.947419899485511
44,0.653177977107492,0.947770105415707
45,0.643295865524724,0.949177412528019
46,0.652487438389345,0.948026887236515
47,0.643563763241914,0.950396819583744
48,0.655866751561827,0.94835260076762
49,0.645232599263283,0.947998911664844
50,0.656741363901684,0.950051490537435
51,0.644004255547794,0.950219288598531
52,0.653162588648917,0.946204495383465
53,0.644332912599755,0.951359307021045
54,0.653793833412115,0.952091354504599
55,0.639018779835089,0.9491428787713
56,0.65336118053446,0.950531843358902
57,0.640395072084081,0.951672981317179
58,0.655188902033383,0.949060500097414
59,0.640884067358909,0.950261694414432
60,0.650940238695844,0.949287045739027
61,0.639777891726207,0.949237044062765
62,0.647605797928045,0.949051395584709
63,0.641535844452832,0.950173349266662
64,0.654521495132139,0.952075162124405
65,0.638017648820108,0.949166777005119
66,0.656150418011134,0.952273844637387
67,0.640751966829997,0.951348263932585
68,0.646630545578829,0.950450668327908
69,0.638541380760203,0.952997280025252
70,0.648532714818537,0.950274850121214
71,0.64230834583764,0.950600172400369
72,0.651807895518167,0.949431463479833
73,0.636799346659995,0.949845360256186
74,0.652949599828427,0.951323025434875
75,0.641845230589544,0.95439038882187
76,0.648729347170644,0.950381170602638
77,0.643233004777815,0.951316374369665
78,0.650032930381249,0.952878446213434
79,0.639073599199311,0.950655131101904
80,0.644934934578659,0.950077196593471
81,0.641423182301822,0.952133098215075
82,0.646840824145715,0.951982702953467
83,0.643465165245133,0.952644748616154
84,0.649474057815159,0.951568599981773
85,0.638983693979173,0.954285390213449
86,0.644659585751236,0.950478140282445
87,0.643558408526025,0.95312034623442
88,0.647039062872885,0.950521870170592
89,0.637613170525276,0.951169921171664
90,0.649269742481553,0.952838869490585
91,0.638344604200474,0.952372699011269
92,0.646130176017436,0.951419781272046
93,0.638119488974551,0.952195705801539
94,0.644617979988795,0.951443007461674
95,0.643225315101271,0.956121879248479
96,0.649396988601839,0.953754610309236
97,0.639223812322642,0.953198873987443
98,0.648754690783905,0.952580400030908
99,0.645120236246769,0.953912176396095
100,0.647704271882373,0.952680281736804
